,data,ministro,discurso_posse,link_bio,link_discurso
41,25/10/1930,Afrânio de Melo Franco,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/330,NA
42,15/11/1926,Otávio Mangabeira,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/331,NA
43,15/11/1922,José Félix Alves Pacheco,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/332,NA
44,29/07/1919,José Manuel de Azevedo Marques,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/333,NA
45,16/11/1918,Domício da Gama,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/334,NA
46,08/05/1917,Nilo Procópio Peçanha,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/335,NA
47,15/02/1912,Lauro Severiano Müller,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/336,NA
48,03/12/1902,José Maria da Silva Paranhos Júnior,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/337,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=439
49,15/11/1898,Olinto de Magalhães,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/338,NA
50,01/09/1896,Dionísio Evangelista de Castro Cerqueira,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/339,NA
51,15/11/1894,Carlos Augusto de Carvalho,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/340,NA
52,26/10/1893,Alexandre Cassiano do Nascimento,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/341,NA
53,06/10/1893,Carlos Augusto de Carvalho,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/340,NA
54,30/06/1893,João Felipe Pereira,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/342,NA
55,22/04/1893,Felisbello Firmo de Oliveira Freire,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/343,NA
56,11/12/1892,Antonio Francisco de Paula Souza,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/344,NA
